ID,Jenis Kelamin,Umur,Pendapatan-per-bulan,skor-pengeluaran,Menikah,Kota,Promo,HariFav,FavFlavor
182,Wanita,55,17213114,58,1,Jakarta,1,Sabtu,3
183,Wanita,31,27049180,93,,Depok,0,Selasa,0
184,Wanita,25,23360655,34,0,Tangerang,3,Senin,4
185,Wanita,50,10245901,55,1,Jakarta,1,Sabtu,2
186,Wanita,46,15983606,44,1,Jakarta,2,Rabu,6
187,Wanita,42,7786885,17,1,Tangerang,3,Sabtu,4
188,Wanita,28,25000000,40,1,Jakarta,2,Senin,5
189,Wanita,45,15983606,53,1,Jakarta,1,Sabtu,3
190,Pria,28,25409836,97,1,Depok,0,Senin,0
191,Wanita,36,29508196,27,,Tangerang,3,Minggu,5
192,Pria,59,22950819,11,1,Tangerang,3,Minggu,7
193,Pria,48,18852459,42,1,Jakarta,2,Minggu,1
194,Pria,40,29508196,13,1,Tangerang,3,Senin,1
195,Pria,58,29918032,15,1,Tangerang,3,Sabtu,0
196,Wanita,30,29918032,86,1,Depok,,Minggu,5
197,Wanita,60,14344262,56,1,Jakarta,1,Minggu,7
198,Wanita,51,21311475,43,,Jakarta,2,Minggu,3
199,Wanita,40,22131147,58,1,Jakarta,1,Sabtu,2
200,Wanita,29,10245901,42,1,Jakarta,2,Jumat,5
201,Wanita,43,13524590,50,1,Jakarta,1,Rabu,1
202,Wanita,34,25819672,22,1,Tangerang,3,Jumat,0
203,Pria,32,50000000,18,,Tangerang,3,Senin,6
204,Wanita,42,20491803,43,1,Jakarta,2,Sabtu,4
205,Wanita,54,5327868,14,1,Tangerang,3,Sabtu,4
206,Pria,35,3688524,35,,Tangerang,2,Senin,6
207,Wanita,35,1639344,99,1,Depok,0,Sabtu,0
208,Wanita,19,20491803,50,0,Jakarta,1,Senin,8
209,Wanita,32,18442622,42,1,Jakarta,2,Senin,7
210,Pria,20,2459016,66,0,Depok,1,Kamis,7
211,Wanita,21,6147540,73,1,Depok,1,Senin,5
212,Pria,39,22131147,91,1,Depok,0,Sabtu,0
213,Wanita,23,15983606,52,0,Jakarta,1,Senin,7
214,Pria,52,3278688,29,1,Tangerang,3,Sabtu,0
215,Wanita,47,19672131,50,1,Jakarta,1,Sabtu,3
216,Pria,47,22950819,9,1,Tangerang,3,Sabtu,4
217,Pria,52,19262295,59,1,Jakarta,1,Sabtu,8
218,,49,15983606,42,1,Jakarta,2,Minggu,2
219,Wanita,29,34016393,88,1,Depok,1,Selasa,0
220,Pria,2,18032786,41,0,Jakarta,2,Senin,0
221,Pria,53,7377049,4,1,Tangerang,3,Minggu,3
222,Wanita,50,11475409,45,1,Jakarta,2,Minggu,7
223,Wanita,34,36065573,23,1,Tangerang,3,Senin,1
224,Pria,19,24180327,10,0,Tangerang,3,Selasa,5
225,Wanita,41,36065573,17,1,Tangerang,3,Sabtu,3
226,Pria,29,5327868,82,1,Depok,1,Senin,1
227,Wanita,47,18442622,101,,Jakarta,2,Minggu,7
228,Pria,43,13524590,51,1,Jakarta,1,Kamis,6
229,Wanita,23,22540983,29,1,Tangerang,3,Selasa,8
230,Pria,55,19672131,43,1,Jakarta,2,Minggu,5
231,Wanita,44,25819672,20,1,Tangerang,3,Sabtu,9
232,Pria,18,7377049,92,0,Depok,0,Selasa,0
233,Wanita,31,819672,40,1,Jakarta,,Minggu,6
234,Pria,20,23770491,5,0,Tangerang,3,Senin,6
235,Wanita,35,2459016,35,,Tangerang,3,Senin,5
236,,49,19262295,48,1,Jakarta,2,Minggu,2
237,Pria,43,22950819,35,1,Tangerang,2,Selasa,7
238,Wanita,35,24180327,72,1,Depok,1,Senin,4
239,Pria,20,18852459,49,0,Jakarta,2,Senin,5
240,Wanita,30,1639344,72,1,Depok,1,Senin,3
241,Wanita,50,21311475,57,,Jakarta,1,Sabtu,1
242,Wanita,31,23360655,71,1,Depok,1,Senin,2
243,Pria,25,3688524,73,1,Depok,1,Senin,6
244,Pria,42,29098360,20,1,Tangerang,3,Minggu,7
245,Pria,34,25819672,1,1,Tangerang,3,Senin,0
246,Pria,38,22950819,75,1,Depok,1,Sabtu,7
247,Pria,19,13524590,59,0,Jakarta,1,Senin,5
248,Wanita,47,13934426,42,1,Jakarta,2,Minggu,0
249,Wanita,21,7377049,81,0,Depok,1,Senin,8
250,Wanita,56,26229508,35,1,Jakarta,2,Sabtu,8
251,Pria,37,25819672,1,1,Tangerang,3,Senin,1
252,Pria,30,34426229,97, ,Depok,,Sabtu,0
253,Pria,59,31967213,14,1,Tangerang,3,Minggu,5
254,Pria,26,19262295,55,1,Jakarta,1,Rabu,0
255,Pria,35,31967213,90,1,Depok,0,Selasa,0
256,Wanita,35,3278688,98,1,Depok,0,Sabtu,0
257,Wanita,36,9016393,26,1,Tangerang,3,Sabtu,3
258,Wanita,38,25819672,76,1,Depok,1,Sabtu,1
259,Pria,28,29508196,75,1,Depok,1,Senin,5
260,Wanita,45,9426229,35,1,Jakarta,2,Minggu,0
261,Pria,32,24590163,93,1,Depok,0,Senin,0
262,Pria,19,20081967,46,0,Jakarta,2,Senin,8
263,Wanita,29,23770491,88,1,Depok,1,Senin,0
264,Pria,58,13934426,55,1,Jakarta,1,Sabtu,4
265,Wanita,29,26229508,83,1,Depok,1,Senin,2
266,Wanita,54,18032786,55,1,Jakarta,1,Minggu,3
267,Wanita,30,25819672,78,1,Depok,1,Sabtu,5
268,Pria,32,29508196,63,1,Jakarta,1,Sabtu,5
269,Pria,24,18442622,52,1,Jakarta,1,Selasa,8
270,Pria,32,45491803,74,1,Depok,1,Minggu,3
271,Wanita,27,12704918,51,1,Jakarta,1,Senin,4
272,Wanita,57,24590163,5,1,Tangerang,3,Minggu,8
273,Wanita,50,17622950,46,1,Jakarta,2,Sabtu,1
274,Pria,26,15983606,54,1,Jakarta,1,Senin,5
275,Wanita,36,36065573,85,1,Depok,1,Senin,4
276,Pria,43,25819672,17,1,Tangerang,3,Senin,5
277,Pria,25,25409836,12,1,Tangerang,3,Senin,8
278,Wanita,30,7786885,73,0,Depok,1,Senin,7
279,Wanita,22,17213114,55,0,Jakarta,1,Senin,8
280,Pria,32,23770491,73,1,Depok,1,Minggu,1
281,Pria,50,28688524,26,,Tangerang,3,Minggu,4
282,Wanita,32,25409836,74,1,Depok,1,Sabtu,2
283,Wanita,47,43032786,16,1,Tangerang,3,Sabtu,2
284,Wanita,23,5737704,87,0,Depok,1,Senin,7
285,Pria,33,40163934,8,1,Tangerang,3,Senin,3
286,,21,0,81,0,Depok,1,Jumat,0
287,Wanita,46,4098360,5,1,Tangerang,3,Senin,7
288,Pria,19,0,39,0,Jakarta,2,Senin,3
289,Pria,56,11885245,46,1,Jakarta,2,Sabtu,4
290,Pria,57,12704918,56,1,Jakarta,1,Minggu,8
291,Wanita,52,29918032,13,,Tangerang,3,Sabtu,2
292,Wanita,22,819672,76,1,Depok,1,Senin,0
293,Wanita,31,22540983,77,1,Depok,1,Senin,4
294,Pria,54,19672131,46,1,Jakarta,2,Sabtu,3
295,Wanita,31,9836065,61,1,Jakarta,,Jumat,3
296,Pria,31,4098360,73,1,Depok,1,Senin,0
297,Pria,57,15983606,51,1,Jakarta,1,Minggu,5
298,Wanita,35,43032786,79,1,Depok,1,Senin,7
299,Wanita,23,1229508,94,1,Depok,0,Selasa,0
300,Pria,50,1639344,14,1,Tangerang,3,Minggu,6
